id,caption,createur,idInterpretation_id
1,"Man looks like he is in pain or suffering since his face is turned downward",bart_1,895
2,"Do not know what to think of this painting but it looks like the man is crying",bart_2,895
3,"I feel sad because the people look like they are dying",t5_1,895
4,"I feel sad for the man in the middle of the painting",t5_2,895
5,"how the woman is painted&LIGHTGREY#GREY#GREY#DARKGREY#DARKGREY makes me sad",FST,895
6,"Painting of a bird with its wings on it is head",bart_1,915
7,"Amuses me because it looks like the man is trying to hide in a cave",bart_2,915
8,"I am not sure what is going on here but it makes me think of a dinosaur",t5_1,915
9,"I am amused by this painting because it looks like a bird is flying in the sky",t5_2,915
10,"the way the dinosaur is looking&DARKGREY#LIGHTGREY#GREY#DARKGREY#DARKGREY silly",FST,915
11,"Colors are calming and the scene is peaceful",bart_1,958
12,"Love the colors and the structure of the painting",bart_2,958
13,"I like the way the colors are painted",t5_1,958
14,"I like the contrast of the blue and green colors",t5_2,958
15,"it's nice the way the skyscraper is looking&TAN#DARKGREY#TAN#GREY#GREY",FST,958
16,"Colors are calming and the scene is peaceful",bart_1,961
17,"Love the colors and the structure of the painting",bart_2,961
18,"I like the way the colors are painted",t5_1,961
19,"I like the contrast of the blue and green colors",t5_2,961
20,"&TAN#DARKGREY#TAN#GREY#GREY pleasing",FST,961
21,"People in the picture look like they are being tortured by a demon",bart_1,1017
22,"Looks like the people are scared of what is behind them",bart_2,1017
23,"I feel fear because the man looks like he is going to kill someone",t5_1,1017
24,"I feel fear because the people look like they are going to kill someone",t5_2,1017
25,"the way the plate is looking&DARKGREY#GREY#DARKGREY#GREY#LIGHTGREY is scary",FST,1017
26,"Scene looks like it is from a fairy tale",bart_1,1019
27,"Love the snow on the ground and the water looks calm",bart_2,1019
28,"I love the way the colors are painted and the buildings look so bright",t5_1,1019
29,"I love the detail in the buildings and how they are painted",t5_2,1019
30,"how the house is looking&DARKGREY#DARKGREY#GREY#GREY#GREY makes me in awe",FST,1019
31,"People are having a good time playing with each other",bart_1,1026
32,"Love the colors and the way it is painted",bart_2,1026
33,"I like the way the people are dressed up and looking at each other",t5_1,1026
34,"I like the colors and the way the people are dressed up",t5_2,1026
35,"it's pleasing to look at the way the wardrobe is painted&LIGHTGREY#MAROON#TAN#GREY#DARKGREY",FST,1026
36,"Scene is peaceful and the colors are calming",bart_1,1030
37,"Like the way the buildings are painted and the colors are muted",bart_2,1030
38,"I like the way the buildings are painted",t5_1,1030
39,"I like the way the colors blend together",t5_2,1030
40,"how the castle is painted&DARKGREY#GREY#GREY#GREY#LIGHTGREY makes me content",FST,1030
41,"Woman is relaxing on the couch with her dog",bart_1,1031
42,"Love the colors and the way they are painted it is very peaceful",bart_2,1031
43,"I like the way the colors are painted",t5_1,1031
44,"I like the way the colors blend together",t5_2,1031
45,"how the skyscraper is painted&DARKGREY#GREY#GREY#LIGHTGREY#NAVY pleasing",FST,1031
46,"Scene is calming and the colors are soothing",bart_1,1035
47,"Love the colors and the structure of this painting",bart_2,1035
48,"I like the way the colors are painted and the scene is very dark",t5_1,1035
49,"I like the colors and the way they are painted",t5_2,1035
50,"how the wardrobe is looking&GREY#DARKGREY#DARKGREY#TAN#DARKGREY makes me content",FST,1035
51,"Painting makes me feel confused because I do not know what the artist is trying to convey",bart_1,1036
52,"Do not know what I am looking at it is just a bunch of random shapes",bart_2,1036
53,"I am not sure what is going on here but it looks like a painting of a wall",t5_1,1036
54,"I am not sure what this painting is supposed to be",t5_2,1036
55,"i'm confused about this artwork",FST,1036
56,"Horse looks like it is about to hurt someone",bart_1,1081
57,"Looks like a ghost and I feel fear for the people in this painting",bart_2,1081
58,"I am not sure what is going on here but it looks like a ghost",t5_1,1081
59,"I feel fear because it looks like the horse is about to attack",t5_2,1081
60,"it's scary the way the camel is looking&DARKGREY#GREY#GREY#DARKGREY#LIGHTGREY",FST,1081
61,"Colors are bright and cheery I like the contrast between the yellow and black",bart_1,1085
62,"Amuses me because it looks like a child's painting and I do not know what to think of it",bart_2,1085
63,"I am amused by the way the colors are drawn",t5_1,1085
64,"I love the colors and shapes in this painting",t5_2,1085
65,"&LIGHTGREY#DARKGREY#GREY#DARKRED#GREY silly",FST,1085
66,"Colors are bright and cheery I like the contrast between the white flowers and the black background",bart_1,1087
67,"Am excited by the way the artist has chosen to paint a nude woman's body",bart_2,1087
68,"I like the way the fish is drawn and the colors are bright and vibrant",t5_1,1087
69,"I am excited by the way the fish is floating in the water",t5_2,1087
70,"it's exciting the way the whale is looking&DARKGREY#GREY#AQUAMARINE#LIGHTGREY#GREY",FST,1087
71,"Colors and shapes are exciting",bart_1,1161
72,"Am excited by the contrast between the red and orange colors of this painting",bart_2,1161
73,"I love the bright colors of the orange and yellow",t5_1,1161
74,"I am excited by the bright colors",t5_2,1161
75,"how the sweet pepper is painted&YELLOW#COPPER#KHAKI#BEIGE#TAN makes me excited",FST,1161
76,"Tree branches look like they are glowing since it is glowing",bart_1,1162
77,"Love the colors of the leaves and the flowers in the vase",bart_2,1162
78,"I like the way the trees are painted",t5_1,1162
79,"I like the way the trees are painted and the colors are bright",t5_2,1162
80,"the way the trees are painted&WHITE#DARKGREY#SALMON#LIGHTGREY#GREY pleasing",FST,1162
81,"Woman looks like she is taking a break from her life in the sun",bart_1,1177
82,"Love the detail in the face and hands",bart_2,1177
83,"I love the way the man is holding his hand and how he looks like he is in awe",t5_1,1177
84,"I love the way the man is holding his head in the water",t5_2,1177
85,"&WHITE#LIGHTGREY#DARKGREY#GREY#DARKGREY amazing",FST,1177
86,"Painting makes me feel confused because I do not know what the artist is trying to convey",bart_1,1178
87,"Do not know what I am looking at but it looks like a black and white photo",bart_2,1178
88,"I am not sure what is going on here but it looks like a painting of a picture",t5_1,1178
89,"I am not sure what this is supposed to be",t5_2,1178
90,"i'm not sure what's going on here",FST,1178
91,"Colors are calming and the shapes look like a child's painting",bart_1,1181
92,"Love the colors and the way the flowers are painted",bart_2,1181
93,"I like the way the colors are drawn",t5_1,1181
94,"I like the colors and the way they blend together",t5_2,1181
95,"the way the worm is painted&LIGHTGREY#LIGHTGREY#GREY#GREY#DARKGREY makes me content",FST,1181
96,"Scene is calming and the colors are soothing",bart_1,1184
97,"Love the colors and the way they all blend together",bart_2,1184
98,"I like the way the colors are painted and the people look very happy",t5_1,1184
99,"I like the colors and the way they are drawn",t5_2,1184
100,"it's pleasing to look at the way the plate is painted&GREY#NAVY#DARKGREY#GREY#GREY",FST,1184
101,"Picture is boring and lacks details in the image",bart_1,1203
