bart_1 :
Taille 2 : 1160 n-grammes différents
[looks like]   [vu 1931 fois]
[and the]   [vu 1929 fois]
[are calming]   [vu 1741 fois]
[calming and]   [vu 1533 fois]
[Colors are]   [vu 1472 fois]
[Painting is]   [vu 1298 fois]
[and white]   [vu 1271 fois]
[me feel]   [vu 1193 fois]
[do not]   [vu 1147 fois]
[makes me]   [vu 1107 fois]
[Black and]   [vu 1011 fois]
[is peaceful]   [vu 996 fois]
[I do]   [vu 995 fois]
[feel confused]   [vu 993 fois]
[confused because]   [vu 993 fois]
[not know]   [vu 993 fois]
[know what]   [vu 993 fois]
[because I]   [vu 990 fois]
[Painting makes]   [vu 974 fois]
[white painting]   [vu 955 fois]

bart_1 :
Taille 3 : 1763 n-grammes différents
[Colors are calming]   [vu 1375 fois]
[are calming and]   [vu 1375 fois]
[makes me feel]   [vu 1050 fois]
[Black and white]   [vu 1011 fois]
[I do not]   [vu 995 fois]
[me feel confused]   [vu 993 fois]
[feel confused because]   [vu 993 fois]
[do not know]   [vu 993 fois]
[not know what]   [vu 993 fois]
[confused because I]   [vu 990 fois]
[because I do]   [vu 990 fois]
[Painting makes me]   [vu 974 fois]
[and white painting]   [vu 955 fois]
[calming and the]   [vu 906 fois]
[the colors are]   [vu 790 fois]
[is trying to]   [vu 738 fois]
[Painting is very]   [vu 732 fois]
[know what the]   [vu 712 fois]
[trying to convey]   [vu 707 fois]
[and the scene]   [vu 693 fois]

bart_1 :
Taille 4 : 2140 n-grammes différents
[Colors are calming and]   [vu 1375 fois]
[makes me feel confused]   [vu 993 fois]
[me feel confused because]   [vu 993 fois]
[I do not know]   [vu 993 fois]
[do not know what]   [vu 993 fois]
[feel confused because I]   [vu 990 fois]
[confused because I do]   [vu 990 fois]
[because I do not]   [vu 990 fois]
[Painting makes me feel]   [vu 974 fois]
[Black and white painting]   [vu 954 fois]
[are calming and the]   [vu 802 fois]
[not know what the]   [vu 712 fois]
[is trying to convey]   [vu 707 fois]
[and the scene is]   [vu 684 fois]
[calming and the scene]   [vu 665 fois]
[the scene is peaceful]   [vu 664 fois]
[know what the artist]   [vu 652 fois]
