bart_2 :
Taille 2 : 1316 n-grammes différents
[and the]   [vu 3165 fois]
[Love the]   [vu 3163 fois]
[the colors]   [vu 2749 fois]
[colors and]   [vu 2650 fois]
[the way]   [vu 2548 fois]
[like a]   [vu 2308 fois]
[this painting]   [vu 2094 fois]
[Looks like]   [vu 1793 fois]
[in this]   [vu 1741 fois]
[way the]   [vu 1521 fois]
[and I]   [vu 1427 fois]
[are painted]   [vu 1390 fois]
[a ghost]   [vu 1282 fois]
[ghost and]   [vu 1282 fois]
[fear for]   [vu 1232 fois]
[for the]   [vu 1232 fois]
[the people]   [vu 1226 fois]
[it is]   [vu 1124 fois]
[by the]   [vu 1083 fois]
[way they]   [vu 977 fois]

bart_2 :
Taille 3 : 2113 n-grammes différents
[Love the colors]   [vu 2515 fois]
[the colors and]   [vu 2458 fois]
[colors and the]   [vu 2450 fois]
[and the way]   [vu 1767 fois]
[in this painting]   [vu 1677 fois]
[Looks like a]   [vu 1574 fois]
[the way the]   [vu 1521 fois]
[like a ghost]   [vu 1282 fois]
[a ghost and]   [vu 1282 fois]
[ghost and I]   [vu 1252 fois]
[fear for the]   [vu 1231 fois]
[for the people]   [vu 1000 fois]
[the way they]   [vu 977 fois]
[the people in]   [vu 932 fois]
[and I fear]   [vu 921 fois]
[I fear for]   [vu 921 fois]
[people in this]   [vu 823 fois]
[it looks like]   [vu 764 fois]
[way they are]   [vu 679 fois]
[not know what]   [vu 674 fois]

bart_2 :
Taille 4 : 2716 n-grammes différents
[the colors and the]   [vu 2425 fois]
[Love the colors and]   [vu 2417 fois]
[colors and the way]   [vu 1684 fois]
[Looks like a ghost]   [vu 1282 fois]
[like a ghost and]   [vu 1282 fois]
[a ghost and I]   [vu 1252 fois]
[fear for the people]   [vu 999 fois]
[and the way they]   [vu 977 fois]
[and I fear for]   [vu 921 fois]
[I fear for the]   [vu 921 fois]
[for the people in]   [vu 899 fois]
[ghost and I fear]   [vu 851 fois]
[the people in this]   [vu 823 fois]
[people in this painting]   [vu 823 fois]
[and the way the]   [vu 740 fois]
[the way they are]   [vu 679 fois]
[way they are painted]   [vu 659 fois]
[Do not know what]   [vu 596 fois]
[the way the trees]   [vu 585 fois]
[way the trees are]   [vu 585 fois]

bart_2 :
Taille 5 : 3125 n-grammes différents
[Love the colors and the]   [vu 2400 fois]
[the colors and the way]   [vu 1684 fois]
[Looks like a ghost and]   [vu 1282 fois]
[like a ghost and I]   [vu 1252 fois]
[colors and the way they]   [vu 940 fois]
[and I fear for the]   [vu 921 fois]
[fear for the people in]   [vu 899 fois]
[a ghost and I fear]   [vu 851 fois]
[ghost and I fear for]   [vu 851 fois]
