t5_2 :
Taille 2 : 758 n-grammes différents
[the way]   [vu 3356 fois]
[I am]   [vu 2871 fois]
[like the]   [vu 2795 fois]
[the colors]   [vu 2792 fois]
[I like]   [vu 2731 fois]
[way the]   [vu 2348 fois]
[colors and]   [vu 2226 fois]
[and the]   [vu 2085 fois]
[this painting]   [vu 1913 fois]
[to be]   [vu 1292 fois]
[is supposed]   [vu 1271 fois]
[supposed to]   [vu 1271 fois]
[what this]   [vu 1270 fois]
[I love]   [vu 1222 fois]
[love the]   [vu 1217 fois]
[looks like]   [vu 1194 fois]
[am not]   [vu 1174 fois]
[not sure]   [vu 1174 fois]
[sure what]   [vu 1174 fois]
[to kill]   [vu 1104 fois]

t5_2 :
Taille 3 : 1328 n-grammes différents
[I like the]   [vu 2729 fois]
[the way the]   [vu 2348 fois]
[the colors and]   [vu 2172 fois]
[and the way]   [vu 1957 fois]
[colors and the]   [vu 1934 fois]
[like the colors]   [vu 1417 fois]
[is supposed to]   [vu 1271 fois]
[supposed to be]   [vu 1271 fois]
[I love the]   [vu 1217 fois]
[I am not]   [vu 1174 fois]
[am not sure]   [vu 1174 fois]
[not sure what]   [vu 1174 fois]
[sure what this]   [vu 1174 fois]
[like the way]   [vu 1157 fois]
[to kill someone]   [vu 1079 fois]
[I am afraid]   [vu 1077 fois]
[am afraid that]   [vu 1055 fois]
[the way they]   [vu 952 fois]
[it looks like]   [vu 944 fois]
[going to kill]   [vu 932 fois]

t5_2 :
Taille 4 : 1741 n-grammes différents
[colors and the way]   [vu 1905 fois]
[the colors and the]   [vu 1897 fois]
[I like the colors]   [vu 1417 fois]
[like the colors and]   [vu 1416 fois]
[is supposed to be]   [vu 1271 fois]
[I am not sure]   [vu 1174 fois]
[am not sure what]   [vu 1174 fois]
[not sure what this]   [vu 1174 fois]
[I like the way]   [vu 1157 fois]
[like the way the]   [vu 1157 fois]
[I am afraid that]   [vu 1055 fois]
[and the way they]   [vu 952 fois]
[and the way the]   [vu 949 fois]
[going to kill someone]   [vu 908 fois]
[am afraid that the]   [vu 882 fois]
[what this painting is]   [vu 867 fois]
[this painting is supposed]   [vu 867 fois]
[painting is supposed to]   [vu 867 fois]
[it looks like a]   [vu 855 fois]
[sure what this painting]   [vu 807 fois]

t5_2 :
Taille 5 : 2056 n-grammes différents
[the colors and the way]   [vu 1877 fois]
[I like the colors and]   [vu 1416 fois]
[like the colors and the]   [vu 1369 fois]
[I am not sure what]   [vu 1174 fois]
[am not sure what this]   [vu 1174 fois]
[I like the way the]   [vu 1157 fois]
[colors and the way the]   [vu 949 fois]
[colors and the way they]   [vu 943 fois]
[I am afraid that the]   [vu 882 fois]
[what this painting is supposed]   [vu 867 fois]
[this painting is supposed to]   [vu 867 fois]
[painting is supposed to be]   [vu 867 fois]
[not sure what this painting]   [vu 807 fois]
[sure what this painting is]   [vu 807 fois]
[I love the colors and]   [vu 751 fois]
[because it looks like a]   [vu 704 fois]
[is going to kill someone]   [vu 699 fois]
[the way the colors are]   [vu 565 fois]
[and the way they are]   [vu 532 fois]
[love the colors and the]   [vu 527 fois]

t5_2 :
Taille 6 : 2305 n-grammes différents
[I like the colors and the]   [vu 1369 fois]
[like the colors and the way]   [vu 1350 fois]
[I am not sure what this]   [vu 1174 fois]
[the colors and the way the]   [vu 938 fois]
[the colors and the way they]   [vu 926 fois]
[what this painting is supposed to]   [vu 867 fois]
[this painting is supposed to be]   [vu 867 fois]
[am not sure what this painting]   [vu 807 fois]
[not sure what this painting is]   [vu 807 fois]
[sure what this painting is supposed]   [vu 807 fois]
[I love the colors and the]   [vu 527 fois]
[love the colors and the way]   [vu 527 fois]
[colors and the way they are]   [vu 525 fois]
[I am afraid that the man]   [vu 489 fois]
[am afraid that the man is]   [vu 487 fois]
[afraid that the man is going]   [vu 487 fois]
[that the man is going to]   [vu 487 fois]
[the man is going to kill]   [vu 486 fois]
[man is going to kill someone]   [vu 486 fois]
[I like the way the colors]   [vu 462 fois]

t5_2 :
Taille 7 : 2381 n-grammes différents
[I like the colors and the way]   [vu 1350 fois]
[what this painting is supposed to be]   [vu 867 fois]
[I am not sure what this painting]   [vu 807 fois]
[am not sure what this painting is]   [vu 807 fois]
[not sure what this painting is supposed]   [vu 807 fois]
[sure what this painting is supposed to]   [vu 807 fois]
[like the colors and the way the]   [vu 800 fois]
[like the colors and the way they]   [vu 542 fois]
[I love the colors and the way]   [vu 527 fois]
[the colors and the way they are]   [vu 508 fois]
[I am afraid that the man is]   [vu 487 fois]
[am afraid that the man is going]   [vu 487 fois]
[afraid that the man is going to]   [vu 487 fois]
[that the man is going to kill]   [vu 486 fois]
[the man is going to kill someone]   [vu 486 fois]
[I like the way the colors are]   [vu 451 fois]
[I feel fear because it looks like]   [vu 440 fois]
[the colors and the way they blend]   [vu 418 fois]
[colors and the way they blend together]   [vu 418 fois]
[the way the colors are blended together]   [vu 400 fois]

t5_2 :
Taille 8 : 2349 n-grammes différents
[I am not sure what this painting is]   [vu 807 fois]
[am not sure what this painting is supposed]   [vu 807 fois]
[not sure what this painting is supposed to]   [vu 807 fois]
[sure what this painting is supposed to be]   [vu 807 fois]
[I like the colors and the way the]   [vu 800 fois]
[I like the colors and the way they]   [vu 542 fois]
[I am afraid that the man is going]   [vu 487 fois]
[am afraid that the man is going to]   [vu 487 fois]
[afraid that the man is going to kill]   [vu 486 fois]
[that the man is going to kill someone]   [vu 486 fois]
[the colors and the way they blend together]   [vu 418 fois]
[I love the colors and the way they]   [vu 384 fois]
[I feel fear because it looks like a]   [vu 378 fois]
[like the colors and the way they blend]   [vu 374 fois]
[I am not sure what this is supposed]   [vu 367 fois]
[am not sure what this is supposed to]   [vu 367 fois]
[not sure what this is supposed to be]   [vu 367 fois]
[love the colors and the way they are]   [vu 340 fois]
[the colors and the way they are painted]   [vu 338 fois]
[by this painting because it looks like a]   [vu 320 fois]

t5_2 :
Taille 9 : 2227 n-grammes différents
[I am not sure what this painting is supposed]   [vu 807 fois]
[am not sure what this painting is supposed to]   [vu 807 fois]
[not sure what this painting is supposed to be]   [vu 807 fois]
[I am afraid that the man is going to]   [vu 487 fois]
[am afraid that the man is going to kill]   [vu 486 fois]
